delta_abs_error,Solvent_Name
-0.4661548137664796,n-Propyl acetate
-0.3765029907226562,n-Propyl acetate
-0.4064533710479736,n-Propyl acetate
-0.2414383888244629,n-Propyl acetate
-0.2972925901412964,n-Propyl acetate
-0.2050644159317017,n-Propyl acetate
-0.2156997919082641,n-Propyl acetate
-0.0347985637473536,n-Propyl acetate
0.0509071052074431,n-Propyl acetate
0.0777284801006318,n-Propyl acetate
-0.0022468864917755,n-Propyl acetate
-0.0688850730657578,n-Propyl acetate
-0.1275441609323024,n-Propyl acetate
-0.1238377764821052,n-Propyl acetate
0.0332207679748535,n-Propyl acetate
0.0417416095733643,n-Propyl acetate
0.0479750037193298,n-Propyl acetate
0.1567376852035523,n-Propyl acetate
0.1229983568191528,n-Propyl acetate
0.1652042865753174,n-Propyl acetate
0.1369684934616089,n-Propyl acetate
0.1907366216182708,n-Propyl acetate
0.2073373794555664,n-Propyl acetate
0.1659198999404908,NMP
0.1644223928451538,NMP
0.1995828151702881,NMP
0.1511062383651733,NMP
0.125097145872481,NMP
0.0526275489738812,NMP
0.120855969735556,NMP
0.0540457519232892,NMP
-0.0592841460710065,NMP
-0.0546404868539233,NMP
-0.0350913288520357,NMP
0.3160768747329712,Ethylene glycol
0.2527934312820434,Ethylene glycol
0.2937294731098481,Ethylene glycol
0.2568625687420939,Ethylene glycol
0.2470876389325612,Ethylene glycol
0.2357220649719238,Ethylene glycol
0.1096405386924743,Ethylene glycol
0.0593706965446473,Ethylene glycol
0.0569695830345153,Ethylene glycol
0.0507525205612182,Ethylene glycol
0.0086346268653869,Ethylene glycol
0.0775825977325438,n-Propyl acetate
0.0871995687484741,n-Propyl acetate
0.1082392930984497,n-Propyl acetate
0.0470832586288452,n-Propyl acetate
0.128126859664917,n-Propyl acetate
0.0831160545349121,n-Propyl acetate
0.0552027225494384,n-Propyl acetate
0.1058883666992187,n-Propyl acetate
0.0756798982620239,n-Propyl acetate
0.0818369388580322,n-Propyl acetate
-0.6153028011322021,Cyclohexane
-0.6599403023719788,Cyclohexane
-0.4138102645611301,Cyclohexane
-0.1086999429696491,Cyclohexane
-0.170982847304531,Cyclohexane
-0.1134241932627053,Cyclohexane
0.2899094524223001,Cyclohexane
0.2720474004745484,Cyclohexane
0.1930598616600037,Cyclohexane
0.0144691467285156,Cyclohexane
0.0171093940734863,Cyclohexane
0.1521813869476318,Cyclohexane
0.1354815959930421,Cyclohexane
0.0815849304199218,Cyclohexane
-0.0310463905334472,Cyclohexane
-0.1644942760467529,Cyclohexane
-0.1223379150032998,n-Propyl acetate
-0.0951258535496891,n-Propyl acetate
-0.2213083393871784,n-Propyl acetate
-0.1312211900949478,n-Propyl acetate
-0.174950748682022,n-Propyl acetate
-0.1392322480678558,n-Propyl acetate
-0.1200153529644013,n-Propyl acetate
-0.0123057961463928,n-Propyl acetate
-0.0866560590220615,DMSO
-0.0433680498972535,DMSO
-0.0185828357934952,DMSO
-0.0447325780987739,DMSO
-0.1288947910070418,DMSO
-0.0585060715675354,Cyclohexane
-0.0611405968666075,Cyclohexane
-0.0921495556831359,Cyclohexane
-0.1760509312152862,Cyclohexane
-0.0614510178565979,Cyclohexane
-0.1083220764994621,Cyclohexane
-0.185640128212981,Cyclohexane
0.1590199470520019,Ethylene glycol
0.1129260063171386,Ethylene glycol
0.1811573505401613,Ethylene glycol
0.3949899673461917,Ethylene glycol
0.4212756156921386,Ethylene glycol
0.5084376335144043,Ethylene glycol
0.4884240627288818,Ethylene glycol
0.5814037322998047,Ethylene glycol
0.5445404052734375,Ethylene glycol
0.5731945037841799,Ethylene glycol
-0.5569784641265869,Cyclohexane
-0.5273043513298035,Cyclohexane
-0.5587903261184695,Cyclohexane
-0.4402927160263061,Cyclohexane
-0.4849473237991331,Cyclohexane
-0.4774405360221863,Cyclohexane
-0.4875186681747436,Cyclohexane
-0.3548662066459653,Cyclohexane
-0.3486500382423401,Cyclohexane
-0.3633444905281067,Cyclohexane
-0.2826700806617737,Cyclohexane
-0.326700747013092,Cyclohexane
-0.3218557834625242,Cyclohexane
0.0729690194129944,n-Propyl acetate
0.0724785327911377,n-Propyl acetate
0.1079198718070983,n-Propyl acetate
0.0421605110168456,n-Propyl acetate
0.079802930355072,n-Propyl acetate
0.0706946053077673,n-Propyl acetate
-0.0676736624973942,n-Propyl acetate
-0.0578441321849823,n-Propyl acetate
-0.0350407063961029,n-Propyl acetate
0.2325770035386085,NMP
0.2616344094276428,NMP
0.2517167031764984,NMP
0.2021966129541396,NMP
0.2499923519790172,DMSO
-0.0967361785761202,DMSO
-0.2281783223152161,DMSO
-0.1967804431915283,DMSO
0.1417591571807861,NMP
0.1857507228851318,NMP
0.1727765798568726,NMP
