LogS,split
-2.814542670451064,training/common sample
0.406717744434537,training/common sample
-0.0604896503155761,training/common sample
-0.722104906344077,training/common sample
-0.8017087225107021,training/common sample
-2.2908937002007352,training/common sample
0.0314607113669327,training/common sample
-1.398293268131414,training/common sample
-1.0709868995156189,training/common sample
-1.2270767712527269,training/common sample
-0.7100213398884508,training/common sample
-1.1163292465581305,training/common sample
-2.520871955777163,training/common sample
-2.826834572371058,training/common sample
-0.8467358940137967,training/common sample
-0.8686876451976913,training/common sample
-0.0941067516871687,training/common sample
-0.429914676257528,training/common sample
-2.131121267787946,training/common sample
-0.13002685213104,training/common sample
-2.3564991713437085,training/common sample
-1.3885038703504893,training/common sample
-1.4782821854073576,training/common sample
-0.4573067244848232,training/common sample
-1.0462676448595891,training/common sample
-2.6494634437156033,training/common sample
-1.9575434726915903,training/common sample
-2.0649922594250727,training/common sample
0.3559855411597517,training/common sample
-1.6399712116209677,training/common sample
-1.4806767956467517,training/common sample
-2.684671759910925,training/common sample
-2.747244087638024,training/common sample
-1.2993585177326634,training/common sample
-0.8638498994010382,training/common sample
0.3718336643703224,training/common sample
-1.1567538898039316,training/common sample
-1.1371661881046409,training/common sample
0.395417061476348,training/common sample
-0.4706209482146039,training/common sample
-1.7390926023883313,training/common sample
-2.5898837492918565,training/common sample
-0.614575853796419,training/common sample
-1.5337846783607048,training/common sample
-5.353203128493318,training/common sample
-0.2040972382803171,training/common sample
-0.9513720223465618,training/common sample
0.0707295866528918,training/common sample
0.5690155624610822,training/common sample
-0.578210842540901,training/common sample
0.8467443982733053,training/common sample
-3.0519009962120753,training/common sample
-1.1593425287494985,training/common sample
0.4890885224771123,training/common sample
-4.612817337145307,training/common sample
-2.4773742911223784,training/common sample
-0.961906248768494,training/common sample
-1.5991945901804017,training/common sample
-0.8877862313934048,training/common sample
-3.0195147502560022,training/common sample
-1.4989764732719617,training/common sample
-2.2221644456198693,training/common sample
