seed,top_k,rank,feature
46,60,32,Cross_hb_don_moment_product
46,60,33,Solute_M_hb_acc
46,60,34,Solute_NumHDonors
46,60,35,Solute_pos_area_frac
46,60,36,Cross_nonpolar_match
46,60,37,Solvent_hydrophobic_density
46,60,38,Cross_surface_imbalance_product
46,60,39,Solvent_sig3
46,60,40,Solute_neg_area_frac
46,60,41,Cross_acc_to_don_surface
46,60,42,Cross_sigma3_abs_gap
46,60,43,Solvent_sig2
46,60,44,Class_ester_x_solute_TPSA_density
46,60,45,Solute_signed_surface_imbalance
46,60,46,Class_ester_x_solute_HBD
46,60,47,Cross_HB_capacity_product
46,60,48,Cross_pos_area_abs_gap
46,60,49,Solvent_self_hbond_proxy
46,60,50,Solute_NumHAcceptors
46,60,51,Class_nonpolar_x_nonpolar_match
46,60,52,Solvent_LabuteASA
46,60,53,Cross_temperature_x_sigma2_gap
46,60,54,Cross_HBA_solute_x_HBD_solvent
46,60,55,Solvent_MinAbsPartialCharge
46,60,56,Class_nonpolar_x_solute_HB_capacity
46,60,57,Class_nonpolar_x_solute_sigma2
46,60,58,Class_nonpolar_x_solute_TPSA_density
46,60,59,Cross_hb_acc_moment_product
46,60,60,Cross_HBD_solute_x_HBA_solvent
47,33,1,Solute_BertzCT
47,33,2,Temperature_K
47,33,3,Solute_TPSA
47,33,4,Solute_HB_capacity
47,33,5,Solute_MolLogP
47,33,6,Solute_MolWt
47,33,7,Solvent_MaxPartialCharge
47,33,8,Solvent_pos_area_frac
47,33,9,Solute_BalabanJ
47,33,10,Solute_MaxPartialCharge
47,33,11,Solute_polar_surface_density
47,33,12,Solute_M_hb_don
47,33,13,Solute_M_nonpolar
47,33,14,Solute_RingCount
47,33,15,Solute_NumRotatableBonds
47,33,16,Solute_MinAbsPartialCharge
47,33,17,Solute_NumAromaticRings
47,33,18,Solute_sig3
47,33,19,Cross_TPSA_density_abs_gap
47,33,20,Solute_sig2
47,33,21,Cross_sigma2_abs_gap
47,33,22,Solute_LabuteASA
47,33,23,Solvent_BalabanJ
47,33,24,Cross_logP_abs_gap
47,33,25,Cross_hb_don_moment_product
47,33,26,Solute_MaxAbsPartialCharge
47,33,27,Solute_M_hb_acc
47,33,28,Cross_HB_directional_balance
47,33,29,Solute_HeavyAtomCount
47,33,30,Solute_MinPartialCharge
47,33,31,Solvent_MolLogP
47,33,32,Solvent_sigma_asymmetry_abs
47,33,33,Solute_NumHDonors
47,47,1,Solute_BertzCT
47,47,2,Temperature_K
47,47,3,Solute_TPSA
47,47,4,Solute_HB_capacity
47,47,5,Solute_MolLogP
47,47,6,Solute_MolWt
47,47,7,Solvent_MaxPartialCharge
